customer_id,first_purchase_date,last_purchase_date,country,total_monetary,recency,frequency,monetary_avg,tenure,forecasted_purchases_90d,expected_monetary_avg,clv_365d,p_alive,urgency_status_behavioral,risk_status_statistical,action_segment,aggressive_winback_flag
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,United Kingdom,77556.46,400.0604166663252,11.0,6463.038333333334,725.177777777426,0.19171165272236534,0.14290504709211738,19673.315848781825,0.14290504709211738,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),True
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,Iceland,4921.53,402.06388888927177,7.0,615.19125,403.9375,1.4731557369364812,0.9838640235534113,20648.588865525388,0.9838640235534113,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,Finland,2019.4,362.92638888861984,4.0,403.88,437.9104166664183,0.8014088983970586,0.948601875387549,7575.950358160208,0.948601875387549,Low Urgency,Medium Risk,4. ENGAGEMENT DRIVE (Nurture/Feature),False
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,Italy,4428.69,570.8548611113802,3.0,1107.1725,588.9791666665114,0.4892991313645363,0.9667705122775193,11599.058655885277,0.9667705122775193,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,334.40000000000003,0.0,0.0,334.4,309.86736111110076,0.15215449026464617,0.2938571158751404,0.0,0.2938571158751404,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,Unspecified,300.93,0.0,0.0,300.93,374.89374999981374,0.12898409643869102,0.2653360076756279,0.0,0.2653360076756279,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,Norway,2849.84,356.17847222229466,9.0,284.98400000000004,392.10416666651145,1.8860254770346068,0.9718687547560733,12904.804657735758,0.9718687547560733,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,Bahrain,406.76,204.2104166666977,1.0,203.38,408.0041666664183,0.2730949975096312,0.8673656250847472,1774.611201076652,0.8673656250847472,Medium Urgency,Medium Risk,5. CRITICAL RISK (Aggressive Nudge),False
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,1079.4,0.0,0.0,1079.4,231.98541666660458,0.19387676738160117,0.34142552503521223,0.0,0.34142552503521223,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,Bahrain,947.61,353.07638888899237,1.0,473.805,567.0354166664183,0.20948092509683397,0.8949855346897944,2197.1488828650604,0.8949855346897944,Low Urgency,Medium Risk,4. ENGAGEMENT DRIVE (Nurture/Feature),False
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,Portugal,6371.73,401.9569444442168,5.0,1061.9550000000002,424.1305555552244,1.029182205268327,0.9732301994138435,23741.2697038913,0.9732301994138435,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,Switzerland,18287.66,355.2513888888061,2.0,6095.886666666666,388.1145833330229,0.5075481773712306,0.9525503397036424,53847.10489139311,0.9525503397036424,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,Austria,3887.0700000000006,730.1020833333023,4.0,777.414,731.2020833329298,0.5159796484248379,0.9754237698893297,9332.42352163689,0.9754237698893297,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,Cyprus,8873.39,676.96875,9.0,887.3389999999999,733.9708333332092,1.0698676902976667,0.974240440150283,22805.311007277985,0.974240440150283,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,Austria,4252.889999999999,603.2430555555038,7.0,531.61125,655.1374999997206,0.939743009908596,0.972315804336144,12075.790098281399,0.972315804336144,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,Belgium,511.24999999999994,394.96805555559695,3.0,127.8125,681.9256944442168,0.3722101307224754,0.841862288637375,1585.715455921212,0.841862288637375,High Urgency,Medium Risk,6. DANGEROUS LAPSE (High-Impact),False
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,Belgium,5356.23,735.2291666669771,10.0,486.92999999999995,738.1111111110076,1.1915956471986047,0.9880424600562058,14482.557534236947,0.9880424600562058,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,552.0,132.86736111110076,1.0,276.0,241.9729166664183,0.43727632306215536,0.8881444933933129,3099.266628055502,0.8881444933933129,Low Urgency,Medium Risk,4. ENGAGEMENT DRIVE (Nurture/Feature),False
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,1313.1,104.79027777770534,3.0,328.275,111.89305555541068,1.903092778488074,0.9648073174279528,13314.371461335473,0.9648073174279528,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,641.38,0.009027777705341578,1.0,320.69,290.95763888861984,0.1790406872360687,0.4241400021701115,1166.6413862022084,0.4241400021701115,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,Cyprus,500.24,0.0,0.0,500.24,633.0986111108214,0.08038689499561827,0.19823660217427877,0.0,0.19823660217427877,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,168.89999999999998,0.0,0.0,168.9,3.834722221828997,0.9962284598908056,0.9544681681955901,0.0,0.9544681681955901,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,Cyprus,917.7,0.0,0.0,917.6999999999999,627.870833333116,0.0810047636606504,0.1991733531112745,0.0,0.1991733531112745,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,Austria,1791.15,228.21111111110076,2.0,597.0500000000001,641.1951388888992,0.23491191511703524,0.6938344407335914,2809.9834505498534,0.6938344407335914,High Urgency,Medium Risk,6. DANGEROUS LAPSE (High-Impact),False
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,Austria,4316.5599999999995,617.2152777775191,6.0,616.6514285714286,668.1312499996275,0.8008873822910695,0.9713879849476392,11785.248593309523,0.9713879849476392,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12371,2010-03-04 18:23:00,2011-10-26 10:16:00,Switzerland,4067.38,600.6618055556901,4.0,813.476,644.7687499998137,0.5749814868416061,0.9672136784289791,10646.245553948102,0.9672136784289791,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,1298.0400000000002,224.97638888889924,2.0,432.68,296.0027777776122,0.6269916296888582,0.9309087569057964,5941.331218717659,0.9309087569057964,Low Urgency,Medium Risk,4. ENGAGEMENT DRIVE (Nurture/Feature),False
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,Austria,1127.65,362.04305555531755,2.0,375.8833333333334,673.0291666663252,0.2750114589179788,0.8495176582612366,2482.539621348833,0.8495176582612366,High Urgency,Medium Risk,6. DANGEROUS LAPSE (High-Impact),False
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,Austria,2989.22,563.0666666664183,3.0,747.305,587.9506944441237,0.4894223489449393,0.9654652519403661,8132.801371697285,0.9654652519403661,Low Urgency,Low Risk,1. CHAMPIONS (Protect/Grow),False
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,457.5,87.8423611111939,1.0,228.75,97.93541666632518,0.9048119019382319,0.9379740801745621,5485.961318226277,0.9379740801745621,Low Urgency,Medium Risk,4. ENGAGEMENT DRIVE (Nurture/Feature),False
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,Switzerland,503.15,28.14791666669771,1.0,251.575,417.1722222222015,0.1483529657188797,0.480554984446503,919.6118089161006,0.480554984446503,High Urgency,High Risk,9. CONSERVATIVE CHURN (High-Cost Win-Back),False
